War or conflicts,Start date,End date,Duration
Vietnamese war of independence against Chinese dynasties,111 BC,7/26/1902,1048 years
Reconquista,12/16/1901,1/31/1904,781 years[1]
Roman–Persian Wars,54 BC,9/19/1901,681 years[*citation needed*]
Germanic Wars,113 BC,7/22/1901,681 years
Byzantine-Bulgarian wars,11/10/1901,9/16/1903,675 years
Ottoman wars in Europe,6/18/1903,4/1/1905,653 years
Bulgarian-Ottoman conflicts,7/27/1903,3/27/1905,609 years
Serbian–Ottoman conflicts,10/1/1352,5/1/1913,560 years and 7 months
Croatian–Ottoman wars,10/1/1443,10/1/1878,435 years
Arab–Byzantine wars,9/20/1901,11/15/1902,421 years
Mexican Indian Wars,2/27/1904,4/16/1905,414 years
Byzantine–Arab wars,2/18/1902,3/25/1903,400 years
Yaqui Wars,3/12/1904,4/12/1905,396 years
Polish–Russian Wars,4/6/1904,4/22/1905,381 years
Philippine revolts against Spain,2/29/1904,3/12/1905,377 years
Yemeni–Ottoman conflicts,3/17/1904,3/25/1905,373 years
Moroccan–Portuguese conflicts,11/15/1903,11/3/1904,354 years
Russo-Turkish wars,4/16/1904,4/1/1905,350 years
Arauco War,3/15/1904,2/25/1905,347 years
Dano-Swedish wars,1/9/1904,12/18/1904,344 years
Spanish–Moro conflict,4/13/1904,3/12/1905,333 years
Ottoman–Venetian wars,9/25/1396,7/21/1718,"321 years, 9 months, 3 weeks and 5 days"
Apache–Mexico Wars,5/18/1904,3/29/1905,315 years
American Indian Wars,5/27/1904,4/7/1905,315 years[*citation needed*]
Russo–Swedish Wars,2/3/1904,12/13/1904,314 years
Ottoman–Persian Wars,2/22/1904,12/27/1904,309 years
Burmese–Siamese wars,10/1/1547,5/1/1855,307 years and 7 months
Hispano–Moroccan wars,8/7/1904,5/11/1905,277 years
Viking invasions of England,3/3/1902,12/1/1902,273 years
Navajo Wars,5/18/1904,2/8/1905,266 years
Ottoman–Habsburg wars,3/5/1904,11/25/1904,265 years
Byzantine–Seljuq wars,11/13/1902,7/31/1903,260 years[*citation needed*]
Polish–Ottoman Wars,12/13/1903,8/25/1904,256 years
Ottoman–Portuguese conflicts,1/20/1904,9/13/1904,237 years
Chechen–Russian conflict,11/19/1904,7/9/1905,232 years
Warring States Period,453 BC,223 BC,230 years
Anglo-Spanish Wars,5/3/1904,12/12/1904,223 years
Byzantine–Ottoman Wars,6/18/1903,1/18/1904,214 years[*citation needed*]
Polish–Teutonic War,7/31/1903,2/29/1904,213 years
Franco-Moroccan conflicts,10/30/1904,5/11/1905,193 years
Cossack uprisings,5/9/1904,11/9/1904,184 years
Russo-Persian Wars,7/8/1904,1/1/1905,177 years
Spanish conquest of Chiapas,3/2/1904,8/21/1904,172 years
Muscovite–Lithuanian Wars,9/29/1903,3/16/1904,169 years
Russian conquest of Siberia,4/28/1904,10/12/1904,167 years
Fitnas,10/17/1901,3/29/1902,163 years
Ottoman–Hungarian Wars,9/27/1903,3/5/1904,160 years
Polish–Swedish wars,4/11/1904,9/16/1904,158 years
Anglo-Dutch Wars,7/9/1904,12/14/1904,158 years
Australian frontier wars,11/22/1904,4/17/1905,146 years
Spanish conquest of Guatemala,2/29/1904,7/24/1904,146 years
Hook and Cod wars,9/11/1903,1/29/1904,140 years
Mongol invasions and conquests,4/20/1903,8/29/1903,131 years
Early Muslim conquests,9/13/1901,1/19/1902,128 years
Second Hundred Years' War,8/15/1904,12/19/1904,126 years
Mughal-Sikh Wars,6/22/1904,10/18/1904,118 years
Hundred Years' War,8/29/1903,12/23/1903,116 years[2]
Russo-Kazan Wars,12/8/1903,3/31/1904,114 years
Norwegian civil wars,2/3/1903,5/24/1903,110 years
Jin–Song Wars,1/29/1903,5/18/1903,109 years
Seleucid–Parthian wars,238 BC,129 BC,109 years
Georgian–Seljuk wars,1/3/1903,4/17/1903,104 years
Russo-Circassian War,10/28/1904,2/6/1905,101 years
Xhosa Wars,11/13/1904,3/3/1905,110 years
Tuareg rebellions,3/30/1905,*Ongoing*,105 years
Hephthalite–Persian Wars,4/3/1901,7/15/1901,103 years
Kurdish separatism in Iran,4/1/1905,*Ongoing*,103 years
Kurdish rebellions in Turkey,3/6/1921,*Ongoing*,"99 years, 11 months and 2 days"
Afghan–Sikh Wars,10/16/1904,1/10/1905,86 years
Iraqi–Kurdish conflict,4/1/1905,6/25/1905,85 years
Dagohoy Rebellion,1/24/1744,8/31/1829,"85 years, 7 months and 1 week"
Anglo-Afghan War,1/12/1905,4/2/1905,80 years
Eighty Years' War,4/16/1904,7/5/1904,80 years[3]
Spanish conquest of Petén,6/5/1904,8/23/1904,79 years
Muslim conquest of Transoxiana,11/3/1901,1/20/1902,78 years
Anglo-Ashanti wars,12/27/1904,3/14/1905,77 years
Umayyad conquest of Hispania,12/11/1901,2/26/1902,77 years
Muslim conquest of Sicily,June 827,August 902,75 years and 2 months
Apache Wars,1/22/1905,4/7/1905,75 years
Korean conflict,8/15/1945,*Ongoing*,"75 years, 5 months, 3 weeks and 3 days"
Jewish–Roman wars,3/6/1900,5/15/1900,70 years
Dzungar–Qing Wars,8/13/1904,10/23/1904,71 years
Indo-Pakistani wars,10/22/1947,*Ongoing*,"73 years, 3 months, 2 weeks and 3 days"
Rohingya insurgency,4/30/1905,*Ongoing*,74 years
Internal conflict in Myanmar,4/2/1948,*Ongoing*,"72 years, 10 months and 6 days"
Israeli–Palestinian conflict,5/1/1905,*Ongoing*,73 years
Israeli–Lebanese conflict,5/14/1948,*Ongoing*,"72 years, 8 months, 3 weeks and 4 days"
Arab–Israeli conflict,5/15/1948,*Ongoing*,"72 years, 8 months, 3 weeks and 3 days"
Balochistan conflict,5/1/1905,*Ongoing*,73 years
Pacification of Algeria,1/8/1905,3/17/1905,68 years
Kashmir conflict,10/22/1948,*Ongoing*,"72 years, 3 months, 2 weeks and 3 days"
Afghanistan–Pakistan skirmishes,5/2/1905,*Ongoing*,72 years
Karen conflict,5/2/1905,*Ongoing*,72 years[4]
Argentine Civil Wars,12/18/1904,2/22/1905,66 years
Italian Wars,2/2/1904,4/7/1904,65 years
Ethnic conflict in Nagaland,5/7/1905,*Ongoing*,67 years
Xinjiang conflict,5/7/1905,*Ongoing*,67 years
Sudanese Civil Wars,8/18/1955,*Ongoing*,"65 years, 5 months and 3 weeks"
Darfurs Civil War,9/17/1904,11/20/1904,64 years
Muslim conquest of the Maghreb,10/8/1901,12/9/1901,62 years
Sixty Years' War,10/19/1904,12/18/1904,60 years
Dutch–Portuguese War,5/19/1904,7/18/1904,60 years
Lelantine War,710 BC,650 BC,60 years
Italian unification,12/19/1904,2/13/1905,56 years
South Thailand insurgency,5/13/1905,*Ongoing*,61 years
Texas–Indian wars,12/24/1904,2/17/1905,55 years
Papua conflict,5/15/1905,*Ongoing*,59 years
Moro attacks on Sabah,5/15/1905,*Ongoing*,59 years
Insurgency in Northeast India,5/16/1905,*Ongoing*,58 years
Colombian Conflict,5/17/1905,*Ongoing*,57 years
Insurgency in Manipur,11/24/1964,*Ongoing*,"56 years, 2 months, 2 weeks and 1 day"
Basque conflict,7/31/1959,10/20/2011,"52 years, 2 months, 2 weeks and 6 days"
Bulgarian–Ottoman wars,9/5/1903,10/27/1903,52 years
Galicia–Volhynia Wars,9/1/1903,10/23/1903,52 years
Communist insurgency in Myanmar,4/22/1905,6/11/1905,50 years
Byzantine conquest of Bulgaria,8/25/1902,10/14/1902,50 years
Greco-Persian Wars,499 BC,449 BC,50 years[5]
Naxalite–Maoist insurgency,5/18/1967,*Ongoing*,"53 years, 8 months and 3 weeks"
Comanche–Mexico Wars,12/25/1904,2/12/1905,49 years
Wars of the Diadochi,322 BC,275 BC,47 years[6]
Civil conflict in the Philippines,3/29/1969,*Ongoing*,"51 years, 10 months, 1 week and 3 days"
CPP–NPA–NDF rebellion,3/29/1969,*Ongoing*,"51 years, 10 months, 1 week and 3 days"
Moro conflict,3/29/1969,*Ongoing*,"51 years, 10 months, 1 week and 3 days"
Caucasian War,12/21/1904,2/6/1905,47 years
Western Sahara conflict,5/23/1905,*Ongoing*,51 years
Chadian Civil Wars,5/18/1905,7/2/1905,45 years
Cold War (Indirect War),4/30/1905,6/13/1905,44 years
Kongo Civil War,7/22/1904,9/4/1904,44 years
Sino-Dutch conflicts,6/7/1904,7/19/1904,42 years
Thirty-Eight Years' War,2/8/1902,3/21/1902,41 years[*citation needed*]
Cabinda War,11/8/1975,*Ongoing*,45 years and 3 months
Insurgency in Laos,12/3/1975,*Ongoing*,"45 years, 2 months and 5 days"
Bab al-Tabbaneh–Jabal Mohsen conflict,5/29/1905,*Ongoing*,45 years
Polish–Czechoslovak border conflicts,4/1/1905,5/11/1905,40 years
Spanish conquest of the Inca Empire,3/11/1904,4/20/1904,40 years
Chichimeca War,3/29/1904,5/8/1904,40 years
Umayyad invasion of Gaul,12/19/1901,1/28/1902,40 years
Comanche Wars,1/9/1905,2/17/1905,39 years
War in Afghanistan (1978–present),4/27/1978,*Ongoing*,"42 years, 9 months, 1 week and 5 days[*citation needed*]"
Kurdish–Turkish conflict (1978–present),11/27/1978,*Ongoing*,"42 years, 2 months, 1 week and 5 days"
Assam separatist movements,6/1/1905,*Ongoing*,42 years
Internal conflict in Peru,5/17/1980,*Ongoing*,"40 years, 8 months, 3 weeks and 1 day"
Maoist insurgency in Turkey,9/12/1980,*Ongoing*,"40 years, 4 months, 3 weeks and 6 days"
Guatemalan Civil War,11/13/1960,12/29/1996,"36 years, 1 month, 2 weeks and 2 days[7]"
French Wars of Religion,4/10/1904,5/16/1904,36 years
Banana Wars,3/12/1905,4/17/1905,36 years
Anglo-Powhatan Wars,5/28/1904,7/3/1904,36 years
Holy Man's Rebellion,3/15/1905,4/19/1905,35 years
Ayutthaya-Lan Na War,12/11/1903,1/13/1904,33 years
Wars of the Roses,12/25/1903,1/26/1904,32 years[8]
First War of Scottish Independence,7/19/1903,8/20/1903,32 years[9]
Casamance conflict,6/4/1905,7/6/1905,32 years
Anglo-Mysore Wars,11/1/1904,12/3/1904,32 years
Libyan resistance movement,3/25/1905,4/26/1905,32 years
Second Viking Invasion of the British Isles,9/6/1902,10/8/1902,32 years
Aceh War,2/15/1905,3/18/1905,31 years[10]
Afaqi Khoja revolts,12/30/1904,1/30/1905,31 years
The Troubles,5/21/1905,6/20/1905,30 years
French conquest of Algeria,12/31/1904,1/30/1905,30 years
Thirty Years' War,6/5/1904,7/5/1904,30 years[11]
Eritrean War of Independence,9/1/1961,5/29/1991,"29 years, 8 months, 3 weeks and 2 days"
Murid War,1/3/1905,2/1/1905,29 years
Lord's Resistance Army insurgency,6/9/1905,*Ongoing*,34 years
Portuguese Restoration War,6/27/1904,7/25/1904,28 years[12]
Nagorno-Karabakh conflict,2/20/1988,*Ongoing*,"32 years, 11 months, 2 weeks and 5 days"
Insurgency in Aceh,12/4/1976,8/15/2005,"28 years, 8 months, 1 week and 4 days"
Intercommunal conflict in Mandatory Palestine,3/1/1920,5/15/1948,"28 years, 2 months and 2 weeks"
Nicaraguan Revolution,5/15/1905,6/12/1905,28 years
FULRO insurgency against Vietnam,9/20/1964,10/1/1992,28 years
Communist insurgency in Sarawak,12/1/1962,11/3/1990,"27 years, 11 months and 2 days"
Peloponnesian War,431 BC,404 BC,27 years[13]
New Zealand Wars,1/18/1905,2/14/1905,27 years
Insurgency in Jammu and Kashmir,6/11/1905,*Ongoing*,32 years
Abkhaz–Georgian conflict,6/11/1905,*Ongoing*,32 years
Georgian–Ossetian conflict,6/11/1905,*Ongoing*,32 years
Sectarianism in Pakistan,6/11/1905,*Ongoing*,32 years
Internal conflict in Bangladesh,6/11/1905,*Ongoing*,32 years
Norman Conquest of Sicily,5/1/1061,2/1/1091,29 years and 9 months
Angolan Civil War,5/28/1905,6/24/1905,27 years[14]
Russo-Finnish wars,1/27/1918,9/19/1944,"26 years, 7 months, 3 weeks and 2 days"
DHKP/C insurgency in Turkey,4/1/1990,*Ongoing*,"30 years, 10 months and 1 week"
Mughal–Maratha Wars,9/1/1681,5/1/1707,25 years and 8 months
Livonian War,4/6/1904,5/1/1904,25 years[15]
Somali Civil War,May 1991[nb 1],*Ongoing*,29 years and 9 months
Sri Lankan Civil War,7/23/1983,5/18/2009,"25 years, 9 months, 3 weeks and 4 days"
Spanish American wars of independence,12/12/1904,1/6/1905,25 years
Oromo conflict,6/14/1905,*Ongoing*,29 years
Insurgency in Meghalaya,6/18/1905,*Ongoing*,25 years
Indonesian occupation of East Timor,12/7/1975,10/31/1999,"23 years, 10 months, 3 weeks and 3 days"
South African Border war,8/26/1966,3/21/1990,24 years
First Punic War,264 BC,241 BC,23 years
Silesian Wars,10/5/1904,10/28/1904,23 years
Laotian Civil War,11/9/1953,12/2/1975,"22 years, 3 weeks and 2 days"
Second Sudanese Civil War,6/5/1905,6/27/1905,22 years
Occupation of Araucanía,2/3/1905,2/25/1905,22 years
Chiapas conflict,6/16/1905,*Ongoing*,27 years
Insurgency in Ogaden,6/16/1905,*Ongoing*,27 years
Norman conquest of England,12/1/1902,12/23/1902,22 years
Kandyan Wars,11/30/1904,12/22/1904,22 years
Little War in Hungary,3/9/1904,3/31/1904,22 years
Communist insurgency in Malaysia (1968–1989),6/17/1968,12/2/1989,"21 years, 5 months, 2 weeks and 1 day"
Second Afar insurgency,6/17/1905,*Ongoing*,26 years
United States occupation of Nicaragua,3/26/1905,4/16/1905,21 years
Lazic War,6/24/1901,7/15/1901,21 years
Great Northern War,8/26/1904,9/16/1904,21 years[23]
Ottoman conquest of Habesh,4/5/1904,4/26/1904,21 years
Muslim conquest of Persia,9/24/1901,10/15/1901,21 years
Allied Democratic Forces insurgency,6/18/1905,*Ongoing*,25 years
Eumerella Wars,1/13/1905,2/2/1905,20 years
War of the Sicilian Vespers,7/5/1903,7/25/1903,20 years
Somaliland Campaign,3/14/1905,4/3/1905,20 years
Chittagong Hill Tracts conflict,5/30/1905,12/2/1997,20 years
Vietnam War,11/1/1955,4/30/1975,"19 years, 5 months, 4 weeks and 1 day[24]"
Byzantine–Sasanian War of 572–591,7/25/1901,8/13/1901,19 years
United States occupation of Haiti,7/28/1915,8/1/1934,19 years and 4 days
Miao Rebellion (1854–1873),1/27/1905,2/15/1905,19 years
Gothic War,6/18/1901,7/7/1901,19 years[*citation needed*]
Al-Qaeda insurgency in Yemen,6/20/1905,*Ongoing*,23 years
Communal conflicts in Nigeria,6/20/1905,*Ongoing*,23 years
Jeroboam's Revolt,931 BC,913 BC,18 years
Communist insurgency in Thailand,5/18/1905,6/5/1905,18 years
Basmachi movement,3/30/1905,4/17/1905,18 years
Mahdist War,2/23/1905,3/13/1905,18 years
Second Punic War,218 BC,201 BC,17 years
Ethiopian Civil War,9/12/1974,6/4/1991,"16 years, 8 months, 3 weeks and 2 days"
First Sudanese Civil War,8/18/1955,3/27/1972,"16 years, 7 months, 1 week and 2 days"
Bolivian War of Independence,12/13/1904,12/29/1904,16 years
Chilean War of Independence,12/14/1904,1821 or 1826,11–16 years
Polish–Ottoman War (1683–1699),8/9/1904,8/25/1904,16 years
Western Sahara War,10/30/1975,9/6/1991,"15 years, 10 months and 1 week"
Great Turkish War,7/14/1683,1/26/1699,"15 years, 6 months, 1 week and 5 days"
Lebanese Civil War,4/13/1975,10/13/1990,15 years and 6 months
Rhodesian Bush War,7/4/1964,12/12/1979,"15 years, 5 months, 1 week and 1 day"
War on Terror,9/11/2001,*Ongoing*,"19 years, 4 months and 4 weeks[25]"
Morean War,8/10/1904,8/25/1904,15 years
Roman conquest of the Iberian Peninsula,218 BC,19 BC,199 years
Long Turkish War,5/9/1904,5/24/1904,15 years
Insurgency in the Maghreb (2002–present),4/11/2002,*Ongoing*,"18 years, 9 months and 4 weeks"
Cambodian–Vietnamese War,4/30/1977,10/23/1991,"14 years, 5 months, 3 weeks and 2 days"
Taliban insurgency,6/24/1905,Ongoing,19 years
Jewish–Babylonian War,601 BC,586 BC,15 years
Third Indochina War,5/31/1905,6/14/1905,14 years
Dhofar Rebellion,5/15/1905,5/29/1905,14 years
Years of Lead (Italy),5/21/1905,6/4/1905,14 years
Taiping Rebellion,1/23/1905,2/6/1905,14 years
Russo-Turkish War (1686–1700),8/12/1904,8/26/1904,14 years
Abyssinian–Adal war,3/8/1904,3/22/1904,14 years
Marcomannic Wars,6/14/1900,6/28/1900,14 years
Second Sino-Japanese War,9/18/1931,9/9/1945,"13 years, 11 months, 3 weeks and 1 day"
War in Darfur,2/26/2003,*Ongoing*,"17 years, 11 months, 1 week and 6 days"
War in Afghanistan (2001–present),10/7/2001,*Ongoing*,"19 years, 4 months and 1 day"
Portuguese Colonial War,2/4/1961,4/25/1974,"13 years, 2 months and 3 weeks"
Angolan War of Independence,2/4/1961,4/25/1974,"13 years, 2 months and 3 weeks"
Darul Islam Rebellion,8/1/1949,9/1/1962,"13 years, 3 weeks and 5 days"
War of the Spanish Succession,7/9/1702,7/11/1715,13 years and 2 days
Conflict in the Niger Delta,6/25/1905,*Ongoing*,18 years
Peruvian War of Independence,12/15/1904,12/28/1904,13 years
Venezuelan War of Independence,12/14/1904,12/27/1904,13 years
Wars of Alexander the Great,336 BC,323 BC,13 years
War in North-West Pakistan,3/16/2004,*Ongoing*,"16 years, 10 months, 3 weeks and 2 days"
Iran–PJAK conflict,4/1/2004,*Ongoing*,"16 years, 10 months and 1 week"
Napoleonic Wars,5/18/1803,11/20/1815,"12 years, 6 months and 2 days[26]"
Burundian Civil War,10/21/1993,4/15/2006,"12 years, 5 months, 3 weeks and 4 days"
Haitian Revolution,8/21/1791,1/1/1804,"12 years, 4 months, 1 week and 4 days"
Salvadoran Civil War,10/15/1979,1/16/1992,"12 years, 3 months and 1 day"
Malayan Emergency,6/16/1948,7/12/1960,"12 years, 3 weeks and 5 days"
Kivu conflict,6/26/1905,*Ongoing*,17 years
Sistan and Baluchestan insurgency,6/26/1905,*Ongoing*,17 years
Iraqi no-fly zones conflict,6/13/1905,6/25/1905,12 years
Wars of the Three Kingdoms,6/26/1904,7/8/1904,12 years
Cimbrian War,113 BC,101 BC,12 years
Guinea-Bissau War of Independence,1/23/1963,9/10/1974,"11 years, 7 months, 2 weeks and 4 days"
Paraguayan People's Army insurgency,8/27/2005,*Ongoing*,"15 years, 5 months, 1 week and 5 days"
Mexican War of Independence,9/16/1810,9/27/1821,"11 years, 1 week and 4 days"
Dano-Swedish War (1501–1512),2/9/1904,2/20/1904,11 years
Pool Department insurgency,6/19/1905,6/30/1905,11 years
Insurgency in Punjab,6/6/1905,6/17/1905,11 years
Sino-Vietnamese conflicts 1979–1990,6/1/1905,6/12/1905,11 years
Queen Anne's War,8/28/1904,9/8/1904,11 years
Sierra Leone Civil War,3/23/1991,1/18/2002,"10 years, 9 months, 3 weeks and 5 days"
Nepalese Civil War,2/13/1996,11/21/2006,"10 years, 9 months, 1 week and 1 day"
Houthi insurgency in Yemen,6/18/2004,2/6/2015,"10 years, 7 months, 2 weeks and 5 days"
Yugoslav Wars,3/31/1991,11/12/2001,"10 years, 7 months, 1 week and 5 days"
Syrian Civil War,3/15/2011,*Ongoing*,"9 years, 10 months, 3 weeks and 3 days"
Iran – Iraq War,9/22/1980,8/20/1988,"7 years, 10 months, 4 weeks and 1 day"
World War II,9/1/1939,9/2/1945,6 years and 1 day
World War I,7/28/1914,11/11/1918,"4 years, 3 months and 2 weeks"